CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Fulham,Arsenal,0,3,2021
Crystal Palace,Southampton,1,0,2021
Liverpool,Leeds,4,3,2021
West Ham,Newcastle,0,2,2021
West Brom,Leicester,0,3,2021
Tottenham,Everton,0,1,2021
Brighton,Chelsea,1,3,2021
Sheffield United,Wolves,0,2,2021
Everton,West Brom,5,2,2021
Leeds,Fulham,4,3,2021
Man United,Crystal Palace,1,3,2021
Arsenal,West Ham,2,1,2021
Southampton,Tottenham,2,5,2021
Newcastle,Brighton,0,3,2021
Chelsea,Liverpool,0,2,2021
Leicester,Burnley,4,2,2021
Aston Villa,Sheffield United,1,0,2021
Wolves,Man City,1,3,2021
Brighton,Man United,2,3,2021
Crystal Palace,Everton,1,2,2021
West Brom,Chelsea,3,3,2021
Burnley,Southampton,0,1,2021
Sheffield United,Leeds,0,1,2021
Tottenham,Newcastle,1,1,2021
Man City,Leicester,2,5,2021
West Ham,Wolves,4,0,2021
Fulham,Aston Villa,0,3,2021
Liverpool,Arsenal,3,1,2021
Chelsea,Crystal Palace,4,0,2021
Everton,Brighton,4,2,2021
Leeds,Man City,1,1,2021
Newcastle,Burnley,3,1,2021
Leicester,West Ham,0,3,2021
Southampton,West Brom,2,0,2021
Arsenal,Sheffield United,2,1,2021
Wolves,Fulham,1,0,2021
Man United,Tottenham,1,6,2021
Aston Villa,Liverpool,7,2,2021
Everton,Liverpool,2,2,2021
Chelsea,Southampton,3,3,2021
Man City,Arsenal,1,0,2021
Newcastle,Man United,1,4,2021
Sheffield United,Fulham,1,1,2021
Crystal Palace,Brighton,1,1,2021
Tottenham,West Ham,3,3,2021
Leicester,Aston Villa,0,1,2021
West Brom,Burnley,0,0,2021
Leeds,Wolves,0,1,2021
Aston Villa,Leeds,0,3,2021
West Ham,Man City,1,1,2021
Fulham,Crystal Palace,1,2,2021
Man United,Chelsea,0,0,2021
Liverpool,Sheffield United,2,1,2021
Southampton,Everton,2,0,2021
Wolves,Newcastle,1,1,2021
Arsenal,Leicester,0,1,2021
Brighton,West Brom,1,1,2021
Burnley,Tottenham,0,1,2021
Wolves,Crystal Palace,2,0,2021
Sheffield United,Man City,0,1,2021
Burnley,Chelsea,0,3,2021
Liverpool,West Ham,2,1,2021
Aston Villa,Southampton,3,4,2021
Newcastle,Everton,2,1,2021
Man United,Arsenal,0,1,2021
Tottenham,Brighton,2,1,2021
Fulham,West Brom,2,0,2021
Leeds,Leicester,1,4,2021
Brighton,Burnley,0,0,2021
Southampton,Newcastle,2,0,2021
Everton,Man United,1,3,2021
Crystal Palace,Leeds,4,1,2021
Chelsea,Sheffield United,4,1,2021
West Ham,Fulham,1,0,2021
West Brom,Tottenham,0,1,2021
Leicester,Wolves,1,0,2021
Man City,Liverpool,1,1,2021
Arsenal,Aston Villa,0,3,2021
Newcastle,Chelsea,0,2,2021
Aston Villa,Brighton,1,2,2021
Tottenham,Man City,2,0,2021
Man United,West Brom,1,0,2021
Fulham,Everton,2,3,2021
Sheffield United,West Ham,0,1,2021
Leeds,Arsenal,0,0,2021
Liverpool,Leicester,3,0,2021
Burnley,Crystal Palace,1,0,2021
Wolves,Southampton,1,1,2021
Crystal Palace,Newcastle,0,2,2021
Brighton,Liverpool,1,1,2021
Man City,Burnley,5,0,2021
Everton,Leeds,0,1,2021
West Brom,Sheffield United,1,0,2021
Southampton,Man United,2,3,2021
Chelsea,Tottenham,0,0,2021
Arsenal,Wolves,1,2,2021
Leicester,Fulham,1,2,2021
West Ham,Aston Villa,2,1,2021
Burnley,Everton,1,1,2021
Man City,Fulham,2,0,2021
West Ham,Man United,1,3,2021
Chelsea,Leeds,3,1,2021
West Brom,Crystal Palace,1,5,2021
Sheffield United,Leicester,1,2,2021
Tottenham,Arsenal,2,0,2021
Liverpool,Wolves,4,0,2021
Brighton,Southampton,1,2,2021
Leeds,West Ham,1,2,2021
Wolves,Aston Villa,0,1,2021
Newcastle,West Brom,2,1,2021
Man United,Man City,0,0,2021
Everton,Chelsea,1,0,2021
Southampton,Sheffield United,3,0,2021
Crystal Palace,Tottenham,1,1,2021
Fulham,Liverpool,1,1,2021
Arsenal,Burnley,0,1,2021
Leicester,Brighton,3,0,2021
Wolves,Chelsea,2,1,2021
Man City,West Brom,1,1,2021
Arsenal,Southampton,1,1,2021
Leeds,Newcastle,5,2,2021
Leicester,Everton,0,2,2021
Fulham,Brighton,0,0,2021
Liverpool,Tottenham,2,1,2021
West Ham,Crystal Palace,1,1,2021
Aston Villa,Burnley,0,0,2021
Sheffield United,Man United,2,3,2021
Crystal Palace,Liverpool,0,7,2021
Southampton,Man City,0,1,2021
Everton,Arsenal,2,1,2021
Newcastle,Fulham,1,1,2021
Brighton,Sheffield United,1,1,2021
Tottenham,Leicester,0,2,2021
Man United,Leeds,6,2,2021
West Brom,Aston Villa,0,3,2021
Burnley,Wolves,2,1,2021
Chelsea,West Ham,3,0,2021
Leicester,Man United,2,2,2021
Aston Villa,Crystal Palace,3,0,2021
Fulham,Southampton,0,0,2021
Arsenal,Chelsea,3,1,2021
Man City,Newcastle,2,0,2021
Sheffield United,Everton,0,1,2021
Leeds,Burnley,1,0,2021
West Ham,Brighton,2,2,2021
Liverpool,West Brom,1,1,2021
Wolves,Tottenham,1,1,2021
Crystal Palace,Leicester,1,1,2021
Chelsea,Aston Villa,1,1,2021
Brighton,Arsenal,0,1,2021
Burnley,Sheffield United,1,0,2021
Southampton,West Ham,0,0,2021
West Brom,Leeds,0,5,2021
Man United,Wolves,1,0,2021
Newcastle,Liverpool,0,0,2021
Everton,West Ham,0,1,2021
Man United,Aston Villa,2,1,2021
Tottenham,Leeds,3,0,2021
Crystal Palace,Sheffield United,2,0,2021
Brighton,Wolves,3,3,2021
West Brom,Arsenal,0,4,2021
Newcastle,Leicester,1,2,2021
Chelsea,Man City,1,3,2021
Southampton,Liverpool,1,0,2021
Sheffield United,Newcastle,1,0,2021
Burnley,Man United,0,1,2021
Wolves,Everton,1,2,2021
Man City,Brighton,1,0,2021
Tottenham,Fulham,1,1,2021
Arsenal,Crystal Palace,0,0,2021
Wolves,West Brom,2,3,2021
Leeds,Brighton,0,1,2021
West Ham,Burnley,1,0,2021
Fulham,Chelsea,0,1,2021
Leicester,Southampton,2,0,2021
Sheffield United,Tottenham,1,3,2021
Liverpool,Man United,0,0,2021
Man City,Crystal Palace,4,0,2021
Arsenal,Newcastle,3,0,2021
West Ham,West Brom,2,1,2021
Leicester,Chelsea,2,0,2021
Man City,Aston Villa,2,0,2021
Fulham,Man United,1,2,2021
Liverpool,Burnley,0,1,2021
Aston Villa,Newcastle,2,0,2021
Crystal Palace,West Ham,2,3,2021
Newcastle,Leeds,1,2,2021
Southampton,Arsenal,1,3,2021
West Brom,Man City,0,5,2021
Burnley,Aston Villa,3,2,2021
Chelsea,Wolves,0,0,2021
Brighton,Fulham,0,0,2021
Everton,Leicester,1,1,2021
Man United,Sheffield United,1,2,2021
Tottenham,Liverpool,1,3,2021
Everton,Newcastle,0,2,2021
Crystal Palace,Wolves,1,0,2021
Man City,Sheffield United,1,0,2021
West Brom,Fulham,2,2,2021
Arsenal,Man United,0,0,2021
Southampton,Aston Villa,0,1,2021
Chelsea,Burnley,2,0,2021
Leicester,Leeds,1,3,2021
West Ham,Liverpool,1,3,2021
Brighton,Tottenham,1,0,2021
Sheffield United,West Brom,2,1,2021
Wolves,Arsenal,2,1,2021
Man United,Southampton,9,0,2021
Newcastle,Crystal Palace,1,2,2021
Burnley,Man City,0,2,2021
Fulham,Leicester,0,2,2021
Leeds,Everton,1,2,2021
Aston Villa,West Ham,1,3,2021
Liverpool,Brighton,0,1,2021
Tottenham,Chelsea,0,1,2021
Aston Villa,Arsenal,1,0,2021
Burnley,Brighton,1,1,2021
Newcastle,Southampton,3,2,2021
Fulham,West Ham,0,0,2021
Man United,Everton,3,3,2021
Tottenham,West Brom,2,0,2021
Wolves,Leicester,0,0,2021
Liverpool,Man City,1,4,2021
Sheffield United,Chelsea,1,2,2021
Leeds,Crystal Palace,2,0,2021
Leicester,Liverpool,3,1,2021
Crystal Palace,Burnley,0,3,2021
Man City,Tottenham,3,0,2021
Brighton,Aston Villa,0,0,2021
Southampton,Wolves,1,2,2021
West Brom,Man United,1,1,2021
Arsenal,Leeds,4,2,2021
Everton,Fulham,0,2,2021
West Ham,Sheffield United,3,0,2021
Chelsea,Newcastle,2,0,2021
Burnley,Fulham,1,1,2021
Everton,Man City,1,3,2021
Wolves,Leeds,1,0,2021
Southampton,Chelsea,1,1,2021
Burnley,West Brom,0,0,2021
Liverpool,Everton,0,2,2021
Fulham,Sheffield United,1,0,2021
West Ham,Tottenham,2,1,2021
Aston Villa,Leicester,1,2,2021
Arsenal,Man City,0,1,2021
Man United,Newcastle,3,1,2021
Brighton,Crystal Palace,1,2,2021
Leeds,Southampton,3,0,2021
Man City,West Ham,2,1,2021
West Brom,Brighton,1,0,2021
Leeds,Aston Villa,0,1,2021
Newcastle,Wolves,1,1,2021
Crystal Palace,Fulham,0,0,2021
Leicester,Arsenal,1,3,2021
Tottenham,Burnley,4,0,2021
Chelsea,Man United,0,0,2021
Sheffield United,Liverpool,0,2,2021
Everton,Southampton,1,0,2021
Man City,Wolves,4,1,2021
Burnley,Leicester,1,1,2021
Sheffield United,Aston Villa,1,0,2021
Crystal Palace,Man United,0,0,2021
Fulham,Tottenham,0,1,2021
West Brom,Everton,0,1,2021
Liverpool,Chelsea,0,1,2021
Burnley,Arsenal,1,1,2021
Sheffield United,Southampton,0,2,2021
Aston Villa,Wolves,0,0,2021
Brighton,Leicester,1,2,2021
West Brom,Newcastle,0,0,2021
Liverpool,Fulham,0,1,2021
Man City,Man United,0,2,2021
Tottenham,Crystal Palace,4,1,2021
Chelsea,Everton,2,0,2021
West Ham,Leeds,2,0,2021
Man City,Southampton,5,2,2021
Newcastle,Aston Villa,1,1,2021
Leeds,Chelsea,0,0,2021
Crystal Palace,West Brom,1,0,2021
Everton,Burnley,1,2,2021
Fulham,Man City,0,3,2021
Southampton,Brighton,1,2,2021
Leicester,Sheffield United,5,0,2021
Arsenal,Tottenham,2,1,2021
Man United,West Ham,1,0,2021
Wolves,Liverpool,0,1,2021
Fulham,Leeds,1,2,2021
Brighton,Newcastle,3,0,2021
West Ham,Arsenal,3,3,2021
Aston Villa,Tottenham,0,2,2021
Chelsea,West Brom,2,5,2021
Leeds,Sheffield United,2,1,2021
Leicester,Man City,0,2,2021
Arsenal,Liverpool,0,3,2021
Southampton,Burnley,3,2,2021
Newcastle,Tottenham,2,2,2021
Aston Villa,Fulham,3,1,2021
Man United,Brighton,2,1,2021
Everton,Crystal Palace,1,1,2021
Wolves,West Ham,2,3,2021
Fulham,Wolves,0,1,2021
Man City,Leeds,1,2,2021
Liverpool,Aston Villa,2,1,2021
Crystal Palace,Chelsea,1,4,2021
Burnley,Newcastle,1,2,2021
West Ham,Leicester,3,2,2021
Tottenham,Man United,1,3,2021
Sheffield United,Arsenal,0,3,2021
West Brom,Southampton,3,0,2021
Brighton,Everton,0,0,2021
Everton,Tottenham,2,2,2021
Newcastle,West Ham,3,2,2021
Wolves,Sheffield United,1,0,2021
Arsenal,Fulham,1,1,2021
Man United,Burnley,3,1,2021
Leeds,Liverpool,1,1,2021
Chelsea,Brighton,0,0,2021
Tottenham,Southampton,2,1,2021
Aston Villa,Man City,1,2,2021
Leicester,West Brom,3,0,2021
Arsenal,Everton,0,1,2021
Liverpool,Newcastle,1,1,2021
West Ham,Chelsea,0,1,2021
Sheffield United,Brighton,1,0,2021
Wolves,Burnley,0,4,2021
Leeds,Man United,0,0,2021
Aston Villa,West Brom,2,2,2021
Leicester,Crystal Palace,2,1,2021
Southampton,Leicester,1,1,2021
Crystal Palace,Man City,0,2,2021
Brighton,Leeds,2,0,2021
Chelsea,Fulham,2,0,2021
Everton,Aston Villa,1,2,2021
Newcastle,Arsenal,0,2,2021
Tottenham,Sheffield United,4,0,2021
West Brom,Wolves,1,1,2021
Burnley,West Ham,1,2,2021
Leicester,Newcastle,2,4,2021
Leeds,Tottenham,3,1,2021
Sheffield United,Crystal Palace,0,2,2021
Man City,Chelsea,1,2,2021
Liverpool,Southampton,2,0,2021
Wolves,Brighton,2,1,2021
Aston Villa,Man United,1,3,2021
West Ham,Everton,0,1,2021
Arsenal,West Brom,3,1,2021
Fulham,Burnley,0,2,2021
Man United,Leicester,1,2,2021
Southampton,Crystal Palace,3,1,2021
Chelsea,Arsenal,0,1,2021
Aston Villa,Everton,0,0,2021
Man United,Liverpool,2,4,2021
Newcastle,Man City,3,4,2021
Burnley,Leeds,0,4,2021
Southampton,Fulham,3,1,2021
Brighton,West Ham,1,1,2021
Crystal Palace,Aston Villa,3,2,2021
Tottenham,Wolves,2,0,2021
West Brom,Liverpool,1,2,2021
Everton,Sheffield United,0,1,2021
Man United,Fulham,1,1,2021
Southampton,Leeds,0,2,2021
Brighton,Man City,3,2,2021
Chelsea,Leicester,2,1,2021
Everton,Wolves,1,0,2021
Newcastle,Sheffield United,1,0,2021
Tottenham,Aston Villa,1,2,2021
Crystal Palace,Arsenal,1,3,2021
Burnley,Liverpool,0,3,2021
West Brom,West Ham,1,3,2021
Arsenal,Brighton,2,0,2021
Aston Villa,Chelsea,2,1,2021
Fulham,Newcastle,0,2,2021
Leeds,West Brom,3,1,2021
Leicester,Tottenham,2,4,2021
Liverpool,Crystal Palace,2,0,2021
Man City,Everton,5,0,2021
Sheffield United,Burnley,1,0,2021
West Ham,Southampton,3,0,2021
Wolves,Man United,1,2,2021
Eibar,Celta,0,0,2021
Granada,Ath Bilbao,2,0,2021
Cadiz,Osasuna,0,2,2021
Alaves,Betis,0,1,2021
Valladolid,Sociedad,1,1,2021
Villarreal,Huesca,1,1,2021
Valencia,Levante,4,2,2021
Villarreal,Eibar,2,1,2021
Getafe,Osasuna,1,0,2021
Celta,Valencia,2,1,2021
Huesca,Cadiz,0,2,2021
Betis,Valladolid,2,0,2021
Granada,Alaves,2,1,2021
Sociedad,Real Madrid,0,0,2021
Alaves,Getafe,0,0,2021
Valencia,Huesca,1,1,2021
Elche,Sociedad,0,3,2021
Betis,Real Madrid,2,3,2021
Osasuna,Levante,1,3,2021
Eibar,Ath Bilbao,1,2,2021
Ath Madrid,Granada,6,1,2021
Cadiz,Sevilla,1,3,2021
Valladolid,Celta,1,1,2021
Barcelona,Villarreal,4,0,2021
Sociedad,Valencia,0,1,2021
Getafe,Betis,3,0,2021
Huesca,Ath Madrid,0,0,2021
Villarreal,Alaves,3,1,2021
Eibar,Elche,0,1,2021
Real Madrid,Valladolid,1,0,2021
Ath Bilbao,Cadiz,0,1,2021
Sevilla,Levante,1,0,2021
Celta,Barcelona,0,3,2021
Valladolid,Eibar,1,2,2021
Ath Madrid,Villarreal,0,0,2021
Elche,Huesca,0,0,2021
Sociedad,Getafe,3,0,2021
Valencia,Betis,0,2,2021
Osasuna,Celta,2,0,2021
Alaves,Ath Bilbao,1,0,2021
Levante,Real Madrid,0,2,2021
Cadiz,Granada,1,1,2021
Barcelona,Sevilla,1,1,2021
Granada,Sevilla,1,0,2021
Celta,Ath Madrid,0,2,2021
Real Madrid,Cadiz,0,1,2021
Getafe,Barcelona,1,0,2021
Eibar,Osasuna,0,0,2021
Ath Bilbao,Levante,2,0,2021
Villarreal,Valencia,2,1,2021
Alaves,Elche,0,2,2021
Huesca,Valladolid,2,2,2021
Betis,Sociedad,0,3,2021
Elche,Valencia,2,1,2021
Barcelona,Real Madrid,1,3,2021
Osasuna,Ath Bilbao,1,0,2021
Sevilla,Eibar,0,1,2021
Ath Madrid,Betis,2,0,2021
Valladolid,Alaves,0,2,2021
Cadiz,Villarreal,0,0,2021
Getafe,Granada,0,1,2021
Sociedad,Huesca,4,1,2021
Levante,Celta,1,1,2021
Eibar,Cadiz,0,2,2021
Real Madrid,Huesca,4,1,2021
Ath Bilbao,Sevilla,2,1,2021
Osasuna,Ath Madrid,1,3,2021
Alaves,Barcelona,1,1,2021
Betis,Elche,3,1,2021
Celta,Sociedad,1,4,2021
Granada,Levante,1,1,2021
Valencia,Getafe,2,2,2021
Villarreal,Valladolid,2,0,2021
Elche,Celta,1,1,2021
Huesca,Eibar,1,1,2021
Barcelona,Betis,5,2,2021
Sevilla,Osasuna,1,0,2021
Ath Madrid,Cadiz,4,0,2021
Getafe,Villarreal,1,3,2021
Sociedad,Granada,2,0,2021
Levante,Alaves,1,1,2021
Valladolid,Ath Bilbao,2,1,2021
Valencia,Real Madrid,4,1,2021
Osasuna,Huesca,1,1,2021
Levante,Elche,1,1,2021
Villarreal,Real Madrid,1,1,2021
Sevilla,Celta,4,2,2021
Ath Madrid,Barcelona,1,0,2021
Eibar,Getafe,0,0,2021
Cadiz,Sociedad,0,1,2021
Granada,Valladolid,1,3,2021
Alaves,Valencia,2,2,2021
Ath Bilbao,Betis,4,0,2021
Valladolid,Levante,1,1,2021
Elche,Cadiz,1,1,2021
Valencia,Ath Madrid,0,1,2021
Huesca,Sevilla,0,1,2021
Real Madrid,Alaves,1,2,2021
Barcelona,Osasuna,4,0,2021
Getafe,Ath Bilbao,1,1,2021
Celta,Granada,3,1,2021
Sociedad,Villarreal,1,1,2021
Betis,Eibar,0,2,2021
Ath Bilbao,Celta,0,2,2021
Levante,Getafe,3,0,2021
Sevilla,Real Madrid,0,1,2021
Ath Madrid,Valladolid,2,0,2021
Cadiz,Barcelona,2,1,2021
Granada,Huesca,3,3,2021
Osasuna,Betis,0,2,2021
Villarreal,Elche,0,0,2021
Alaves,Sociedad,0,0,2021
Eibar,Valencia,0,0,2021
Valladolid,Osasuna,3,2,2021
Valencia,Ath Bilbao,2,2,2021
Getafe,Sevilla,0,1,2021
Huesca,Alaves,1,0,2021
Real Madrid,Ath Madrid,2,0,2021
Sociedad,Eibar,1,1,2021
Betis,Villarreal,1,1,2021
Elche,Granada,0,1,2021
Barcelona,Levante,1,0,2021
Celta,Cadiz,4,0,2021
Real Madrid,Ath Bilbao,3,1,2021
Barcelona,Sociedad,2,1,2021
Ath Bilbao,Huesca,2,0,2021
Ath Madrid,Elche,3,1,2021
Barcelona,Valencia,2,2,2021
Levante,Sociedad,2,1,2021
Osasuna,Villarreal,1,3,2021
Sevilla,Valladolid,1,1,2021
Celta,Alaves,2,0,2021
Granada,Betis,2,0,2021
Cadiz,Getafe,0,2,2021
Eibar,Real Madrid,1,3,2021
Elche,Osasuna,2,2,2021
Valencia,Sevilla,0,1,2021
Huesca,Levante,1,1,2021
Sociedad,Ath Madrid,0,2,2021
Valladolid,Barcelona,0,3,2021
Villarreal,Ath Bilbao,1,1,2021
Getafe,Celta,1,1,2021
Real Madrid,Granada,2,0,2021
Alaves,Eibar,2,1,2021
Betis,Cadiz,1,0,2021
Sevilla,Villarreal,2,0,2021
Barcelona,Eibar,1,1,2021
Cadiz,Valladolid,0,0,2021
Levante,Betis,4,3,2021
Granada,Valencia,2,1,2021
Ath Madrid,Getafe,1,0,2021
Celta,Huesca,2,1,2021
Elche,Real Madrid,1,1,2021
Ath Bilbao,Sociedad,0,1,2021
Osasuna,Alaves,1,1,2021
Villarreal,Levante,2,1,2021
Betis,Sevilla,1,1,2021
Getafe,Valladolid,0,1,2021
Real Madrid,Celta,2,0,2021
Ath Bilbao,Elche,1,0,2021
Alaves,Ath Madrid,1,2,2021
Eibar,Granada,2,0,2021
Sociedad,Osasuna,1,1,2021
Huesca,Barcelona,0,1,2021
Valencia,Cadiz,1,1,2021
Ath Bilbao,Barcelona,2,3,2021
Celta,Villarreal,0,4,2021
Sevilla,Sociedad,3,2,2021
Granada,Barcelona,0,4,2021
Osasuna,Real Madrid,0,0,2021
Levante,Eibar,2,1,2021
Cadiz,Alaves,3,1,2021
Valladolid,Valencia,0,1,2021
Elche,Getafe,1,3,2021
Huesca,Betis,0,2,2021
Granada,Osasuna,2,0,2021
Ath Madrid,Sevilla,2,0,2021
Cadiz,Levante,2,2,2021
Valladolid,Elche,2,2,2021
Alaves,Sevilla,1,2,2021
Getafe,Huesca,1,0,2021
Betis,Celta,2,1,2021
Villarreal,Granada,2,2,2021
Valencia,Osasuna,1,1,2021
Eibar,Ath Madrid,1,2,2021
Levante,Valladolid,2,2,2021
Huesca,Villarreal,0,0,2021
Sevilla,Cadiz,3,0,2021
Sociedad,Betis,2,2,2021
Alaves,Real Madrid,1,4,2021
Osasuna,Granada,3,1,2021
Elche,Barcelona,0,2,2021
Celta,Eibar,1,1,2021
Ath Madrid,Valencia,3,1,2021
Ath Bilbao,Getafe,5,1,2021
Valladolid,Huesca,1,3,2021
Eibar,Sevilla,0,2,2021
Real Madrid,Levante,1,2,2021
Valencia,Elche,1,0,2021
Villarreal,Sociedad,1,1,2021
Getafe,Alaves,0,0,2021
Cadiz,Ath Madrid,2,4,2021
Granada,Celta,0,0,2021
Barcelona,Ath Bilbao,2,1,2021
Betis,Osasuna,1,0,2021
Alaves,Valladolid,1,0,2021
Levante,Granada,2,2,2021
Huesca,Real Madrid,1,2,2021
Elche,Villarreal,2,2,2021
Sevilla,Getafe,3,0,2021
Sociedad,Cadiz,4,1,2021
Ath Bilbao,Valencia,1,1,2021
Osasuna,Eibar,2,1,2021
Betis,Barcelona,2,3,2021
Ath Madrid,Celta,2,2,2021
Real Madrid,Getafe,2,0,2021
Celta,Elche,3,1,2021
Granada,Ath Madrid,1,2,2021
Sevilla,Huesca,1,0,2021
Eibar,Valladolid,1,1,2021
Barcelona,Alaves,5,1,2021
Getafe,Sociedad,0,1,2021
Real Madrid,Valencia,2,0,2021
Levante,Osasuna,0,1,2021
Villarreal,Betis,1,2,2021
Cadiz,Ath Bilbao,0,4,2021
Levante,Ath Madrid,1,1,2021
Betis,Getafe,1,0,2021
Elche,Eibar,1,0,2021
Ath Madrid,Levante,0,2,2021
Valencia,Celta,2,0,2021
Valladolid,Real Madrid,0,1,2021
Barcelona,Cadiz,1,1,2021
Sociedad,Alaves,4,0,2021
Huesca,Granada,3,2,2021
Ath Bilbao,Villarreal,1,1,2021
Osasuna,Sevilla,0,2,2021
Barcelona,Elche,3,0,2021
Levante,Ath Bilbao,1,1,2021
Eibar,Huesca,1,1,2021
Sevilla,Barcelona,0,2,2021
Alaves,Osasuna,0,1,2021
Getafe,Valencia,3,0,2021
Celta,Valladolid,1,1,2021
Cadiz,Betis,0,1,2021
Granada,Elche,2,1,2021
Villarreal,Ath Madrid,0,2,2021
Real Madrid,Sociedad,1,1,2021
Valencia,Villarreal,2,1,2021
Valladolid,Getafe,2,1,2021
Elche,Sevilla,2,1,2021
Cadiz,Eibar,1,0,2021
