DATA,JOGOS_ANALISADOS,ACERTOS,ASSERTIVIDADE
10/04/2026,20,19,95.00%
10/04/2026,20,16,80.00%
10/04/2026,20,16,80.00%
10/04/2026,20,14,70.00%
10/04/2026,20,18,90.00%
11/04/2026,20,17,85.00%
11/04/2026,20,15,75.00%
11/04/2026,20,15,75.00%
11/04/2026,20,18,90.00%
11/04/2026,20,13,65.00%
12/04/2026,20,17,85.00%
12/04/2026,20,15,75.00%
12/04/2026,20,14,70.00%
12/04/2026,20,17,85.00%
12/04/2026,20,16,80.00%
13/04/2026,20,18,90.00%
13/04/2026,20,17,85.00%
13/04/2026,20,17,85.00%
13/04/2026,20,14,70.00%
14/04/2026,20,16,80.00%
14/04/2026,20,17,85.00%
14/04/2026,20,16,80.00%
14/04/2026,20,17,85.00%
15/04/2026,20,18,90.00%
16/04/2026,20,19,95.00%
17/04/2026,20,20,100.00%
18/04/2026,20,18,90.00%
19/04/2026,20,14,70.00%
20/04/2026,20,19,95.00%
21/04/2026,20,19,95.00%
22/04/2026,20,18,90.00%
23/04/2026,20,16,80.00%
24/04/2026,20,18,90.00%
25/04/2026,20,18,90.00%
26/04/2026,20,17,85.00%
27/04/2026,20,17,85.00%
28/04/2026,20,19,95.00%
29/04/2026,20,19,95.00%
30/04/2026,20,18,90.00%
01/05/2026,20,18,90.00%
02/05/2026,20,18,90.00%
03/05/2026,20,19,95.00%
04/05/2026,20,16,80.00%
05/05/2026,20,15,75.00%
06/05/2026,20,19,95.00%
07/05/2026,20,19,95.00%
08/05/2026,20,19,95.00%
09/05/2026,20,16,80.00%
10/05/2026,20,18,90.00%
11/05/2026,20,16,80.00%
12/05/2026,20,16,80.00%
13/05/2026,20,19,95.00%
14/05/2026,20,16,80.00%
15/05/2026,20,18,90.00%
16/05/2026,20,18,90.00%
17/05/2026,20,19,95.00%
18/05/2026,20,16,80.00%
19/05/2026,20,18,90.00%
20/05/2026,20,17,85.00%
21/05/2026,20,17,85.00%
22/05/2026,20,19,95.00%
23/05/2026,20,20,100.00%
24/05/2026,20,18,90.00%
25/05/2026,20,20,100.00%
26/05/2026,20,18,90.00%
27/05/2026,20,17,85.00%
28/05/2026,20,19,95.00%
29/05/2026,20,18,90.00%
30/05/2026,20,17,85.00%
31/05/2026,20,15,75.00%
01/06/2026,20,16,80.00%
02/06/2026,20,18,90.00%
03/06/2026,20,19,95.00%
04/06/2026,20,19,95.00%
05/06/2026,20,19,95.00%
06/06/2026,20,16,80.00%
07/06/2026,20,19,95.00%
08/06/2026,20,18,90.00%
09/06/2026,20,17,85.00%
10/06/2026,20,18,90.00%
11/06/2026,20,18,90.00%
12/06/2026,20,17,85.00%
13/06/2026,20,19,95.00%
14/06/2026,20,15,75.00%
15/06/2026,20,16,80.00%
16/06/2026,20,19,95.00%
17/06/2026,20,17,85.00%
18/06/2026,20,20,100.00%
19/06/2026,20,17,85.00%
20/06/2026,20,17,85.00%
21/06/2026,20,17,85.00%
22/06/2026,20,20,100.00%
23/06/2026,20,17,85.00%
24/06/2026,20,19,95.00%
25/06/2026,20,17,85.00%
26/06/2026,20,18,90.00%
27/06/2026,20,19,95.00%
28/06/2026,20,17,85.00%
29/06/2026,20,18,90.00%
30/06/2026,20,18,90.00%
01/07/2026,20,18,90.00%
02/07/2026,20,19,95.00%
03/07/2026,20,19,95.00%
04/07/2026,20,18,90.00%
05/07/2026,20,18,90.00%
06/07/2026,20,16,80.00%
07/07/2026,20,17,85.00%
08/07/2026,20,20,100.00%
09/07/2026,20,16,80.00%
10/07/2026,20,19,95.00%
11/07/2026,20,20,100.00%
12/07/2026,20,18,90.00%
13/07/2026,20,14,70.00%
14/07/2026,20,19,95.00%
15/07/2026,20,19,95.00%
16/07/2026,20,18,90.00%
17/07/2026,20,20,100.00%
18/07/2026,20,18,90.00%
19/07/2026,20,17,85.00%
20/07/2026,20,15,75.00%
21/07/2026,20,19,95.00%
22/07/2026,20,17,85.00%
23/07/2026,20,19,95.00%
24/07/2026,20,19,95.00%
25/07/2026,20,20,100.00%
26/07/2026,20,19,95.00%
27/07/2026,20,16,80.00%
28/07/2026,20,18,90.00%
29/07/2026,20,17,85.00%
30/07/2026,20,18,90.00%
31/07/2026,20,19,95.00%
01/08/2026,20,19,95.00%
02/08/2026,20,19,95.00%
03/08/2026,20,19,95.00%
04/08/2026,20,18,90.00%
05/08/2026,20,17,85.00%
06/08/2026,20,18,90.00%
07/08/2026,20,18,90.00%
08/08/2026,20,14,70.00%
